method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
Ours,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.png,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.3.png,34.30600039,2.236086853,7.261623994,1834.679012,48.24012053,0.3108805418,14.93945021,1.781602907,65.56935918
SGUIE-Net,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chichaoyiwan.3.jpg,1.288547125,0.3704435781,3.850639455,6.812181622,1.671036408,0.9784397483,30.82578344,1.271973329,5.298223147
WWPF,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\WWPF\chichaoyiwan.3.jpg,9.192715241,0.8102804202,6.65133718,255.6472375,17.73510184,0.4211484194,15.80733387,0.9753211346,24.21101045
ABC-Former,chichaoyiwan.4,chichaoyiwan.4.jpg,chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.4.jpg,0.8097525691,0.3442593496,2.635243647,4.493456113,1.289379393,0.9976306558,51.05410404,0.4438493654,2.436242794
CBF,chichaoyiwan.4,chichaoyiwan.4.jpg,chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chichaoyiwan.4.jpg,7.840634756,0.7300293965,6.472490264,85.93461011,10.21285992,0.554273665,16.25092604,1.804003479,21.21040277
GDCP,chichaoyiwan.4,chichaoyiwan.4.jpg,chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chichaoyiwan.4.jpg,2.560890847,0.4414999529,4.192580082,25.4445239,3.87077115,0.9275784492,26.81473004,0.9444121655,11.35329351
Histoformer,chichaoyiwan.4,chichaoyiwan.4.jpg,chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chichaoyiwan.4.jpg,37.75451524,2.427889521,6.863088997,1778.326798,48.85971501,0.1167654395,12.56407885,5.392744854,72.38308141
HLRP,chichaoyiwan.4,chichaoyiwan.4.jpg,chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chichaoyiwan.4.jpg,12.46873165,0.9855374775,6.310089926,154.958077,15.13127333,0.3759261966,13.69612599,0.8487149757,28.78822535
HVDualformer,chichaoyiwan.4,chichaoyiwan.4.jpg,chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.4.jpg,0.9613100967,0.3525571247,2.873854713,4.858483542,1.426346369,0.9952206016,31.16520495,0.4174529401,3.430354395
Ours,chichaoyiwan.4,chichaoyiwan.4.jpg,chichaoyiwan.4.png,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.4.png,44.48836551,2.830840168,7.48662573,2623.274172,59.35306465,0.2632908225,13.18509326,1.149855776,82.41106275
