variant,detector,x_enhancement_var,y_structure_delta,n,pearson,spearman
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_false_edge_ratio_tol,168,0.3128725051405103,0.10043986414322664
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_endpoints_per_1k_skel_px,168,0.21957578813315382,-0.004471193278188038
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_pred_edge_density,168,0.2000337567967458,0.23122562033243188
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_boundary_f1_tol,168,-0.28801241199812816,-0.12959574408893476
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.32444433001106243,-0.2168424356090271
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_boundary_recall_tol,168,0.19844030878754673,0.18592627402992176
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.3244443300110623,0.2168424356090271
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.25336104431457535,0.22512771482072927
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,0.17449704686730863,0.15635811898346919
FF01_full_flow_v8,msfi_50k,mean_abs_luma_delta,delta_boundary_f1_tol,168,-0.240918901058137,-0.10424401639024986
FF01_full_flow_v8,msfi_50k,mean_abs_luma_delta,delta_boundary_precision_tol,168,-0.2511336858392382,-0.15012110214387483
FF01_full_flow_v8,msfi_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,0.11185110695409545,0.06001913937964027
FF01_full_flow_v8,msfi_50k,mean_abs_luma_delta,delta_false_edge_ratio_tol,168,0.2511336858392382,0.15012110214387483
FF01_full_flow_v8,msfi_50k,mean_abs_luma_delta,delta_endpoints_per_1k_skel_px,168,0.11805923636467291,0.12207814254150291
FF01_full_flow_v8,msfi_50k,mean_abs_luma_delta,delta_pred_edge_density,168,0.06667454305192697,0.05009124067210001
FF01_full_flow_v8,msfi_50k,mean_abs_chroma_delta,delta_boundary_f1_tol,168,-0.07966682737722555,-0.06476243986040214
FF01_full_flow_v8,msfi_50k,mean_abs_chroma_delta,delta_boundary_precision_tol,168,-0.11418795878700212,-0.1443785574550143
FF01_full_flow_v8,msfi_50k,mean_abs_chroma_delta,delta_boundary_recall_tol,168,0.21040960286293706,0.16592798157801447
FF01_full_flow_v8,msfi_50k,mean_abs_chroma_delta,delta_false_edge_ratio_tol,168,0.11418795878700215,0.1443785574550143
FF01_full_flow_v8,msfi_50k,mean_abs_chroma_delta,delta_endpoints_per_1k_skel_px,168,0.19536149099539632,0.17930513568947723
FF01_full_flow_v8,msfi_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,0.11957357255443397,0.08885649281338388
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_boundary_f1_tol,168,0.21947844949799414,0.11794867901262969
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_boundary_precision_tol,168,0.2603625702730619,0.1986454782212319
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_boundary_recall_tol,168,-0.18008621468864505,-0.18335449949457017
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_false_edge_ratio_tol,168,-0.26036257027306203,-0.1986454782212319
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_endpoints_per_1k_skel_px,168,-0.2523411286299815,-0.22842048480524496
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_pred_edge_density,168,-0.24819974296146624,-0.1309360202577077
FF01_full_flow_v8,msfi_50k,grad_mean_ratio,delta_boundary_f1_tol,168,-0.0583664970197991,0.032934215088647974
FF01_full_flow_v8,msfi_50k,grad_mean_ratio,delta_boundary_precision_tol,168,-0.07222686984804384,0.013449044723051974
FF01_full_flow_v8,msfi_50k,grad_mean_ratio,delta_boundary_recall_tol,168,0.11249101174240371,0.09817947215741929
FF01_full_flow_v8,msfi_50k,grad_mean_ratio,delta_false_edge_ratio_tol,168,0.07222686984804381,-0.013449044723051974
FF01_full_flow_v8,msfi_50k,grad_mean_ratio,delta_endpoints_per_1k_skel_px,168,0.0411203744586163,0.018175784839151114
FF01_full_flow_v8,msfi_50k,grad_mean_ratio,delta_pred_edge_density,168,0.036468989092893984,-0.06928974033701751
FF01_full_flow_v8,msfi_50k,luma_std_ratio,delta_boundary_f1_tol,168,-0.20308495264232135,-0.08539915620811869
FF01_full_flow_v8,msfi_50k,luma_std_ratio,delta_boundary_precision_tol,168,-0.22301988802587905,-0.11519509213670186
FF01_full_flow_v8,msfi_50k,luma_std_ratio,delta_boundary_recall_tol,168,0.10884035632135557,0.07619680153871143
FF01_full_flow_v8,msfi_50k,luma_std_ratio,delta_false_edge_ratio_tol,168,0.22301988802587894,0.11519509213670186
FF01_full_flow_v8,msfi_50k,luma_std_ratio,delta_endpoints_per_1k_skel_px,168,0.16348289795879067,0.13398149967145678
FF01_full_flow_v8,msfi_50k,luma_std_ratio,delta_pred_edge_density,168,0.08834156309997568,0.06298388549354747
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_f1_tol,168,-0.19711674118442118,-0.028545613759800772
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.29864710673456835,-0.15738177069360856
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_recall_tol,168,0.21832865571820992,0.26741860353164415
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.29864710673456846,0.15738177069360856
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.26508878822276555,0.09699448015336261
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,0.29858712433106677,0.2690111169636715
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_f1_tol,168,-0.10160681604926143,-0.22429162656831153
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_precision_tol,168,-0.0770241011260547,-0.2235500829807969
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,-0.07162890533494622,0.01347520005053315
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_false_edge_ratio_tol,168,0.07702410112605468,0.2235500829807969
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_endpoints_per_1k_skel_px,168,0.3523250681573149,0.1289123459987144
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_pred_edge_density,168,0.027937807295164208,0.08650723298458195
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_boundary_f1_tol,168,-0.016208051454529485,0.018138701464357844
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_boundary_precision_tol,168,-0.10311241048385134,-0.10873097423074392
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_boundary_recall_tol,168,0.23482204660161204,0.2545311130849424
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_false_edge_ratio_tol,168,0.10311241048385128,0.10873097423074392
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_endpoints_per_1k_skel_px,168,0.12389171842352943,0.08249816391006001
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,0.2700237748455161,0.23561472221816976
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_f1_tol,168,0.13446406169726985,0.006509381912421986
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_precision_tol,168,0.24736063770929967,0.14564868572238449
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_recall_tol,168,-0.2352302588838345,-0.29939081287195796
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_false_edge_ratio_tol,168,-0.24736063770929986,-0.14564868572238449
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_endpoints_per_1k_skel_px,168,-0.15530887587048295,-0.08843349360190333
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_pred_edge_density,168,-0.37786983763085713,-0.2719823850043838
FF02_detector_compatible,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_f1_tol,168,0.15176846133634078,0.2523650923006059
FF02_detector_compatible,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_precision_tol,168,0.11804673369786703,0.17933701489666481
FF02_detector_compatible,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_recall_tol,168,0.18351974772442892,0.2483059291273017
FF02_detector_compatible,diffusionedge_baseline_50k,grad_mean_ratio,delta_false_edge_ratio_tol,168,-0.11804673369786697,-0.17933701489666481
FF02_detector_compatible,diffusionedge_baseline_50k,grad_mean_ratio,delta_endpoints_per_1k_skel_px,168,-0.11795430863188841,-0.17418041612028468
FF02_detector_compatible,diffusionedge_baseline_50k,grad_mean_ratio,delta_pred_edge_density,168,0.13290847250281176,-0.010541168134213545
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_f1_tol,168,-0.03333178857042777,0.15435991921482478
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_precision_tol,168,-0.1375099194883793,0.005509690677815966
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_recall_tol,168,0.23360854965195194,0.38951302594151305
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_false_edge_ratio_tol,168,0.1375099194883793,-0.005509690677815966
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_endpoints_per_1k_skel_px,168,0.03158399330916306,-0.09187134011359963
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_pred_edge_density,168,0.27509714146663256,0.21241276330570813
