variant,stem,status,path,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
P27_raw_detail_lowfreq_chroma,lianzhuangluojia.13,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuangluojia.13_Final.png,2.3044824600219727,1.9101073741912842,0.9565283060073853,36.44558045508409,0.48709553480148315,0.4534476101398468,0.9309213014932051,13.031669616699219,12.904580116271973,0.9902476424621265
P27_raw_detail_lowfreq_chroma,lianzhuangluojia.14,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuangluojia.14_Final.png,2.197802782058716,1.7951562404632568,0.9343017339706421,37.909663843801766,0.4628463685512543,0.4369511008262634,0.9440521295433358,12.693682670593262,12.702890396118164,1.000725378502293
P27_raw_detail_lowfreq_chroma,lianzhuangluojia.8,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuangluojia.8_Final.png,2.0005013942718506,1.236757755279541,1.069423794746399,39.42514523069403,0.18256287276744843,0.19423511624336243,1.0639354663686018,11.754507064819336,11.781630516052246,1.0023074936346572
P27_raw_detail_lowfreq_chroma,lianzhuangluojia.9,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuangluojia.9_Final.png,1.67424476146698,0.9938574433326721,0.7398926019668579,41.45696122010497,0.04861969128251076,0.08171916753053665,1.6807833142113957,8.208174705505371,8.250907897949219,1.0052061746943544
P27_raw_detail_lowfreq_chroma,limayuanjia.10,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.10_Final.png,2.350289821624756,1.2795898914337158,1.055385708808899,36.80421662817766,0.3831019103527069,0.4104154109954834,1.0712956496257988,25.360599517822266,25.38286590576172,1.0008779913472836
P27_raw_detail_lowfreq_chroma,limayuanjia.11,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.11_Final.png,2.181868553161621,1.4977344274520874,0.9853320121765137,37.44208967605963,0.30489203333854675,0.32774534821510315,1.0749554311123144,22.53311538696289,22.5546875,1.0009573515097976
P27_raw_detail_lowfreq_chroma,limayuanjia.12,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.12_Final.png,2.4290754795074463,1.2878711223602295,1.0740771293640137,36.36947078838692,0.42939189076423645,0.45910048484802246,1.0691875968167976,27.29009246826172,27.31393051147461,1.0008735053660862
P27_raw_detail_lowfreq_chroma,limayuanjia.13,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.13_Final.png,2.3307487964630127,1.240136742591858,1.1271777153015137,37.08289259988216,0.4478716552257538,0.4750288426876068,1.0606360909076242,26.319793701171875,26.26195526123047,0.9978024736213402
P27_raw_detail_lowfreq_chroma,limayuanjia.14,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.14_Final.png,1.4819368124008179,1.2400195598602295,0.39372071623802185,41.677409270204045,0.1231343150138855,0.16039584577083588,1.3026088174538486,11.646077156066895,11.704532623291016,1.0050193267171212
P27_raw_detail_lowfreq_chroma,limayuanjia.15,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.15_Final.png,1.4871809482574463,1.2360644340515137,0.3877294957637787,41.404498387371206,0.1327945590019226,0.1690899133682251,1.2733195800022004,12.288673400878906,12.310955047607422,1.0018131856059507
P27_raw_detail_lowfreq_chroma,limayuanjia.16,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.16_Final.png,1.7417349815368652,1.416103482246399,0.5462207198143005,40.251157956937135,0.1879621148109436,0.20684665441513062,1.100469919285126,14.238999366760254,14.289613723754883,1.0035546287128314
P27_raw_detail_lowfreq_chroma,limayuanjia.18,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.18_Final.png,1.6865234375,1.2073047161102295,0.6824169754981995,40.134006355517144,0.2818855047225952,0.31215280294418335,1.1073744360995073,23.434045791625977,23.45908546447754,1.0010685168098221
P27_raw_detail_lowfreq_chroma,limayuanjia.9,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\limayuanjia.9_Final.png,2.163632869720459,1.1721972227096558,0.9971728324890137,37.79217793451174,0.3101661503314972,0.34141844511032104,1.100759846439279,25.348920822143555,25.33768081665039,0.9995565883624166
P27_raw_detail_lowfreq_chroma,lingxinghaixian.5,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lingxinghaixian.5_Final.png,1.5671452283859253,0.9200586080551147,0.7709423899650574,40.036366115879105,0.07627123594284058,0.1300860047340393,1.7055709327426898,3.4558165073394775,3.718477964401245,1.0760056141371859
