# Image Metrics (EME/EMEE/Entropy/Contrast/AvgGradient/SIFT_KP/MS_SSIM/PSNR/UCIQE/UIQM)
# Folder: D:\Desktop\Stage1\results\Final
# Time: 2026-03-13 17:39:54
# Notes:AvgGra -> AverageGradient
# Columns:
# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM    
weixiaoyuanjia.15_Final.jpg    5.2967  0.5983   4.7678   301.8715   6.9789   1015    0.8611  21.6487   2.6960  11.8508 
weixiaoyuanjia.16_Final.jpg    5.2345  0.5952   4.8108   297.4530   6.8708   989     0.8554  22.6629   2.0310  11.5033 
weixiaoyuanjia.17_Final.jpg    6.8424  0.6850   5.1154   402.1378   9.3365   1555    0.8407  22.3275   2.7838  15.1233 
weixiaoyuanjia.18_Final.jpg    5.7133  0.6205   4.9406   318.4712   7.8112   1166    0.8376  22.7100   2.4752  12.8728 
weixiaoyuanjia.20_Final.jpg    6.1381  0.6435   4.8189   281.0362   7.8920   1271    0.8753  23.6033   2.3156  13.9226 
weixiaoyuanjia.29_Final.jpg    4.3845  0.5466   4.5633   234.7896   5.6140   763     0.8892  21.7407   3.3365  10.0504 
weixiaoyuanjia.30_Final.jpg    5.3462  0.6020   4.7211   334.0885   7.1457   1071    0.8627  21.7850   2.9323  11.9447 
weixiaoyuanjia.31_Final.jpg    5.4833  0.6106   4.8840   348.2194   7.2448   1116    0.8541  21.1423   2.6997  11.9444 
weixiaoyuanjia.32_Final.jpg    5.9241  0.6356   4.7673   360.4941   7.4668   1122    0.8878  21.7461   2.6861  12.3811 
yuanjiazao.10_Final.jpg        7.7244  0.7356   4.1189   499.7503   10.7294  2581    0.9418  24.1160   8.3943  16.7112 
yuanjiazao.1_Final.jpg         24.3489 1.6609   6.9702   816.7920   26.3354  7194    0.8305  20.5116   4.4238  50.4446 
yuanjiazao.6_Final.jpg         8.0783  0.7511   4.8894   307.9635   9.4714   2394    0.9282  23.8545   9.7432  18.0008 
yuanjiazao.8_Final.jpg         10.2042 0.8698   6.2315   303.6526   14.1722  1745    0.8769  18.0978   3.4971  26.3869 
yuanjiazao.9_Final.jpg         12.2723 0.9937   4.7179   1016.9207  18.1588  3476    0.9530  18.5036   7.2652  25.3151 

# Summary
# Count: 92
# Mean_EME	            7.9708
# Mean_EMEE	            0.7464
# Mean_Entropy	        5.3254
# Mean_Contrast	      403.6117
# Mean_AvgGra	       10.8460
# Mean_SIFT_KP	     2102.2283
# Mean_MS_SSIM	        0.8839
# Mean_PSNR	           20.8948
# Mean_UCIQE	        4.3491
# Mean_UIQM	           18.9340
