comparison,detector,candidate,tag,image_count_multilabel,delta_boundary_f1_tol,delta_boundary_precision_tol,delta_boundary_recall_tol,delta_false_edge_ratio_tol,delta_missed_gt_ratio_tol,delta_pred_components_per_1k_edge_px,delta_endpoints_per_1k_skel_px,delta_p95_pred_to_gt_distance,direction_boundary_f1_tol,direction_boundary_precision_tol,direction_boundary_recall_tol,direction_false_edge_ratio_tol,direction_missed_gt_ratio_tol,direction_pred_components_per_1k_edge_px,direction_endpoints_per_1k_skel_px,direction_p95_pred_to_gt_distance
p7_gamma_vs_raw_msfi,MSFI 50k,generic_luma_gamma_mild_v1,thin_structure,42,1.734874297400411e-05,0.00448178354904413,-0.003968965009018312,-0.004481783549044151,0.003968965009018321,-0.43932620854324916,-1.6268854078990547,-0.7195767424477489,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_msfi,MSFI 50k,generic_luma_gamma_mild_v1,overlap_clutter,49,-0.0002307296345155952,0.00444165521595381,-0.0034406491641566267,-0.004441655215953816,0.0034406491641566367,-0.5017164650603996,-2.0482134050977714,-0.6521566910571732,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_msfi,MSFI 50k,generic_luma_gamma_mild_v1,unassigned_proxy,45,0.0017397548725919699,0.0033407354120599227,-0.0008360293824576444,-0.0033407354120599136,0.0008360293824576348,-0.23767735670073442,-1.1424311125742717,-0.24962609350949302,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_baseline,DiffusionEdge baseline 50k,generic_luma_gamma_mild_v1,all_auto_candidates,168,-0.0006875890034215243,-0.004252547712346869,0.0024795466914301328,0.004252547712346865,-0.0024795466914301323,-0.18280932002207848,0.22509948038741612,0.026586736068772012,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_baseline,DiffusionEdge baseline 50k,generic_luma_gamma_mild_v1,low_contrast_boundary,42,0.0016876786857260957,-0.0014026654182522687,0.0033950767339597614,0.0014026654182522661,-0.003395076733959759,-0.13122662802283924,0.3753444047359361,-0.34467982583591034,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_baseline,DiffusionEdge baseline 50k,generic_luma_gamma_mild_v1,blurred_contour,42,0.0009464200505120543,-0.0013525658480826597,0.0025245438132084153,0.0013525658480826564,-0.002524543813208416,-0.3940478645792455,-0.3748313944282966,-0.061809150197583734,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_baseline,DiffusionEdge baseline 50k,generic_luma_gamma_mild_v1,false_edge_background,42,-0.0015064688781986529,-0.00748236308650903,0.004821596312134191,0.007482363086509037,-0.0048215963121342,0.06436104506197535,0.5950639233202404,0.4431744413925496,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_baseline,DiffusionEdge baseline 50k,generic_luma_gamma_mild_v1,thin_structure,42,-0.00047427512810239135,-0.0054998218682180515,0.003443636153641877,0.00549982186821805,-0.0034436361536418865,-0.05303875552522881,0.40942960836550363,-0.23006220399854954,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_baseline,DiffusionEdge baseline 50k,generic_luma_gamma_mild_v1,overlap_clutter,49,-0.0010759062467784407,-0.006958454927504886,0.003309589181047368,0.00695845492750488,-0.0033095891810473663,0.04145354308163544,-0.10978180215266226,-0.14309116593099566,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_baseline,DiffusionEdge baseline 50k,generic_luma_gamma_mild_v1,unassigned_proxy,45,-0.0013557223035966638,-0.003151132682121717,0.0010723382738130412,0.00315113268212171,-0.0010723382738130336,-0.20452700446274436,0.8489440501583069,-0.2255778290266297,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
