stem,selection_reasons,legacy_stage1_final_mean_abs_bgr_delta,legacy_stage1_final_mean_abs_chroma_delta,legacy_stage1_final_grad_mean_ratio,legacy_stage1_final_luma_std_ratio,P27_raw_detail_lowfreq_chroma_mean_abs_bgr_delta,P27_raw_detail_lowfreq_chroma_mean_abs_chroma_delta,P27_raw_detail_lowfreq_chroma_grad_mean_ratio,P27_raw_detail_lowfreq_chroma_luma_std_ratio,D01_structure_flow_mean_abs_bgr_delta,D01_structure_flow_mean_abs_chroma_delta,D01_structure_flow_grad_mean_ratio,D01_structure_flow_luma_std_ratio,FF01_full_flow_v8_mean_abs_bgr_delta,FF01_full_flow_v8_mean_abs_chroma_delta,FF01_full_flow_v8_grad_mean_ratio,FF01_full_flow_v8_luma_std_ratio,FF02_detector_compatible_mean_abs_bgr_delta,FF02_detector_compatible_mean_abs_chroma_delta,FF02_detector_compatible_grad_mean_ratio,FF02_detector_compatible_luma_std_ratio
paige.5,P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,77.32466125488281,13.333818435668945,9.18066110528008,6.018435001309721,1.9985417127609253,0.7307031154632568,1.7250810355858461,1.092722385434858,2.324934959411621,1.5768554210662842,1.7250361655794595,1.096655172316541,10.873698234558105,10.397705078125,1.0892933385679149,1.0261953958913999,12.912766456604004,11.912012100219727,1.0741935616459524,0.9918237955613188
qiangzhuang.13,P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,54.29131317138672,28.686655044555664,6.3253851453794905,4.369040378246659,1.7680631875991821,0.6356835961341858,1.118200246819318,0.9890726890038126,3.171682834625244,1.6217724084854126,1.109819366463454,1.0041869693762433,9.9133882522583,8.669912338256836,1.1040889955547095,1.2123004526043761,15.280374526977539,13.45321273803711,0.9542079438123915,1.070989329301456
qiangzhuang.14,D01_structure_flow:msfi_50k:endpoint_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:false_edge_increase:top5,49.9384651184082,27.519800186157227,6.526274471425299,3.910686880090997,1.686708927154541,0.6137646436691284,1.2062212792798956,1.0002047640697196,3.10610032081604,1.6008496284484863,1.196225276504058,1.000411168771884,9.768723487854004,8.654926300048828,1.1318615140530444,1.199861798347885,15.208024024963379,13.437548637390137,0.9714608340298756,1.0621158496590783
qiangzhuang.15,FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5,57.33815002441406,29.774642944335938,6.053528062507869,4.392561161091985,1.9305728673934937,0.6450048685073853,0.9983750288860543,0.8971266262370556,3.267932891845703,1.6020996570587158,0.995951225593042,0.9091171536614867,9.70751667022705,8.564526557922363,1.089841280222977,1.1864185933556592,15.199361801147461,13.4171142578125,0.9741813875732219,1.061488340260179
qiangzhuang.17,D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:false_edge_increase:top5,52.34172058105469,31.113487243652344,8.281904312159398,4.726995505574192,1.7865592241287231,1.034609317779541,1.5634429110881882,1.0237015924794632,3.9336295127868652,2.477123975753784,1.5989854481243102,1.0189467722955363,17.017356872558594,11.644848823547363,1.2025387060418002,1.313526058082339,24.8647518157959,16.155210494995117,1.1014181979188014,1.0959930346676852
rouruo.4,FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5,45.9870491027832,8.229516983032227,9.678812987696105,5.324209191371658,1.6200944185256958,0.5282958745956421,1.0738178920688801,0.8658658356506683,1.5788410902023315,0.5299218893051147,1.129543630647883,0.8337125322783823,6.184235095977783,3.3998193740844727,1.0561012365206426,1.0617632635654062,7.775195121765137,4.312216758728027,0.9594605800892207,1.0193410423090847
sanjiaoji.10,P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5,19.284709930419922,7.524165153503418,3.6163603603354493,2.7214203968191613,3.1926627159118652,1.193701148033142,0.898751790540409,0.9105217620983221,3.3472297191619873,1.2351514101028442,0.9570350702713634,0.9332487262521976,6.818323612213135,4.517207145690918,1.013352785908611,1.031546028358916,7.989296913146973,5.14065408706665,0.8414301771645474,0.9338848865237951
shikelipu.4,D01_structure_flow:msfi_50k:f1_loss:top5;D01_structure_flow:msfi_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:false_edge_increase:top5,79.47236633300781,5.7333984375,4.911208526463715,2.446828106080442,1.56598961353302,0.5267773270606995,0.9815568253084924,1.0009403489913358,1.631090521812439,0.5265088081359863,1.0567437494021643,0.9789598353811664,5.305029392242432,2.9935009479522705,1.0106696023944375,1.0180289230867465,6.374150276184082,3.558461904525757,0.8532594710523322,0.9946603436920572
shikelipu.5,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5;D01_structure_flow:msfi_50k:endpoint_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,62.205509185791016,8.679941177368164,9.829234237836268,5.164488615642145,1.7874870300292969,0.49814942479133606,0.8943934528212286,0.8370402212480007,2.016494035720825,0.5517138838768005,0.9766116283251465,0.8619870469899136,7.472548961639404,3.7752490043640137,1.0376124860946783,1.0768237243787238,9.018941879272461,4.717880725860596,0.8637766188350684,0.9996942322930528
tama.10,D01_structure_flow:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:top3_bgr;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:f1_loss:top5,50.181312561035156,25.69159698486328,5.480833857715458,1.9117367089265096,2.8010058403015137,1.084902286529541,1.4645090022052387,0.9963288726204412,4.918877124786377,1.5813769102096558,1.434751432150864,0.9708658345551823,23.103742599487305,11.963525772094727,1.0627297999131133,1.078566516542871,31.58917236328125,16.29926300048828,1.0031944396545867,1.0233991103811413
